Link,Bedrooms,Bathrooms,Area,Price,Price_per_meter,Address,City,Location1,Location2,Unit,Type,Rent_sale
https://remax.com.eg/property/twinhouse-for-sale-in-romance-ain-sokhna-8740,2,3,180,"EGP 6,800,000",37777.78,"Al Ain Al Sokhna - Suez , Egypt",Suez,Al Ain Al Sokhna,None,Apartment,Residential,Sale
https://remax.com.eg/property/townhouse-for-sale-in-soleya-by-inertia-8423,4,5,385,"EGP 13,500,000",35064.94,"6 October City - Giza , Egypt",Giza,6 October City,None,Apartment,Residential,Sale
https://remax.com.eg/property/office-for-rent-in-west-gate-business-complex-9103,1,1,49,"EGP 30,000",612.24,"6 October City - Giza , Egypt",Giza,6 October City,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-for-rent-in-janna-zayed-4-prime-location-9102,3,2,130,"EGP 15,000",115.38,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Rent
https://remax.com.eg/property/furnished-penthouse-for-rent-in-tara-compound-9100,2,1,120,"EGP 55,000",458.33,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Rent
https://remax.com.eg/property/prime-office-for-sale-in-2o5-sheikh-zayed-8541,2,1,76,"EGP 12,160,000",160000.0,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/apartment-for-sale-in-9th-district-open-view-9104,3,2,200,"EGP 6,400,000",32000.0,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/apartment-with-garden-kitchen-and-acs-in-el-joman-8755,2,2,130,"EGP 18,000",138.46,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Rent
https://remax.com.eg/property/clinic-with-installments-prime-location-in-zayed-9099,0,1,65,"EGP 9,500,000",146153.85,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/rtm-apartment-with-best-price-in-village-west-8198,2,2,123,"EGP 7,350,000",59756.1,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/i-villa-roof-corner-for-sale-mountain-view-icity-8932,3,3,230,"EGP 9,300,000",40434.78,"6 October City - Giza , Egypt",Giza,6 October City,None,Apartment,Residential,Sale
https://remax.com.eg/property/apartment-for-rent-in-o-west-high-end-finishing-9101,3,5,192,"EGP 32,000",166.67,"6 October City - Giza , Egypt",Giza,6 October City,None,Apartment,Residential,Rent
